Designator,Mid X,Mid Y,Layer,Rotation
C1,4.7006,-22.343,top,180
C2,-0.1138,56.5992,top,180
C3,13.6896,-21.7616,top,-90
C4,56.7688,19.598159,top,180
C5,27.887,14.8478,top,-90
C6,16.7434,15.8866,top,180
C7,14.1934,18.7066,top,180
C8,17.1062,4.4628,top,0
C9,7.9236,5.152,top,90
C10,28.8454,-0.7158,top,-90
C11,28.8178,-7.0216,top,-90
C12,28.6854,-11.5782,top,-90
C13,79.886172,-25.3202,top,-90
C14,25.998765,-20.930965,top,0
C15,46.9422,9.806159,top,180
C16,6.085,13.897,top,90
C17,44.1772,56.4688,top,180
C18,55.7526,54.355,top,-90
C19,40.7886,56.4842,top,180
C20,44.8764,58.795,top,90
C21,54.1726,57.445,top,90
C22,39.0988,45.1216,top,0
C23,39.0988,40.34,top,180
C24,47.9026,50.515,top,0
C25,29.2436,29.7838,top,90
C26,33.0034,30.0666,top,0
C27,88.337759,50.5956,top,90
C28,88.0416,58.697441,top,-90
C29,37.444687,14.54652,top,90
C30,46.4994,19.5366,top,180
C31,16.7442,10.9034,top,90
C32,30.4684,22.7066,top,-90
C33,15.906131,28.986253,top,90
C34,15.0448,24.832,top,90
C35,3.6712,-8.0152,top,90
C36,-0.0366,-19.2442,top,180
C37,9.1342,10.9034,top,-90
C38,43.8258,40.2492,top,0
C39,43.9758,44.9092,top,180
C40,59.5774,43.1144,top,180
C41,59.5782,38.3874,top,0
C42,40.1058,47.2192,top,180
C43,52.5718,45.9236,top,0
C44,53.925,42.2944,top,90
C45,53.965,39.1936,top,90
C46,59.4232,45.0114,top,0
C47,54.184,60.6264,top,90
C48,94.302962,-25.3202,top,-90
C49,25.4746,-22.7802,top,0
C50,50.9026,50.505,top,0
C51,49.6526,48.995,top,180
C52,-0.12,58.1892,top,180
C53,3.0894,56.5446,top,180
C54,-25.2158,22.7654,top,0
C55,-19.3738,-2.6046,top,0
C56,-43.0352,1.8496,top,180
C57,-43.0136,3.3944,top,180
C58,5.0368,-20.3272,top,0
C59,-117.2146,-12.5222,top,0
C60,10.5486,4.3016,top,180
C61,-30.9086,22.7654,top,0
C62,-16.6994,6.5818,top,-90
C63,-124.5434,-16.9508,top,0
C64,-12.9774,-9.2212,top,-90
C65,3.981,59.013,top,90
C66,14.7934,54.1376,top,-90
C67,16.3166,31.5562,top,0
C68,17.46775,28.9934,top,90
C69,88.4794,-8.440535,top,90
